Mon Feb 15 21:34:11 2021    output.dat

         3305284568 function calls (3264835398 primitive calls) in 7006.120 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272 4170.871   15.334 4170.871   15.334 {method 'acquire' of '_thread.lock' objects}
  2799762    4.957    0.000   11.376    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:212(shape)
   927696    4.862    0.000   59.002    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/array_ops.py:292(logical_op)
  7928058    4.791    0.000   29.147    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:456(is_period_dtype)
  5131968    4.573    0.000    4.573    0.000 {built-in method _locale.setlocale}
 19099692    4.512    0.000    4.512    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1575(_block)
  2561842    4.355    0.000    9.104    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:263(is_dict_like)
  2773355    4.221    0.000   25.300    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:974(_get_value)
  2802932    4.218    0.000   15.235    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:255(make_block_same_class)
11173991/9315784    4.158    0.000   26.406    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/_asarray.py:16(asarray)
   934262    4.072    0.000   36.833    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexers.py:348(check_array_indexer)
  4641288    4.039    0.000   21.732    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:574(array)
   929098    4.007    0.000    4.007    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
 10720110    3.928    0.000    5.244    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/common.py:329(apply_if_callable)
   929099    3.907    0.000  340.896    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/frame.py:2926(_getitem_bool_array)
  7940151    3.813    0.000   12.791    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:540(_values)
  6077781    3.789    0.000    5.067    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1733(pandas_dtype)
   929097    3.786    0.000    3.786    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
 10247382    3.763    0.000    5.065    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/range.py:678(__len__)
 17626262    3.737    0.000    3.737    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/numerictypes.py:587(<listcomp>)
  4641288    3.735    0.000   16.428    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:206(array_values)
  6518249    3.591    0.000    6.042    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1602(dtype)
   927696    3.524    0.000  174.897    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/__init__.py:386(wrapper)
   929099    3.519    0.000  179.644    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1285(<listcomp>)
  5131968    3.453    0.000   11.316    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:849(_ixs)
  3712187    3.441    0.000    6.933    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/arrays/numpy_.py:414(to_numpy)
  4641288    3.382    0.000    3.382    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/arrays/numpy_.py:50(__init__)
      428    3.369    0.008    3.369    0.008 {method 'read' of '_ssl._SSLSocket' objects}
  5131968    3.345    0.000   19.209    0.000 /home/kd/anaconda3/lib/python3.7/locale.py:571(getlocale)
 16315811    3.245    0.000    3.245    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:232(mgr_locs)
  2798386    3.244    0.000    3.244    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
  2773355    3.195    0.000    8.425    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:4617(_get_values_for_loc)
  4655139    3.171    0.000    7.825    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:608(is_dtype_equal)
  5123670    3.168    0.000    3.882    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:150(ensure_python_int)
   929101    3.165    0.000  190.017    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:1238(reindex_indexer)
  2791108    3.135    0.000   12.713    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:2845(get_loc)
  5142805    3.134    0.000    3.134    0.000 {method 'split' of 'str' objects}
  2790666    3.046    0.000    3.046    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  5131968    3.036    0.000   11.290    0.000 /home/kd/anaconda3/lib/python3.7/locale.py:467(_parse_localename)
  5131968    2.970    0.000   22.179    0.000 /home/kd/anaconda3/lib/python3.7/_strptime.py:26(_getlang)
  2791108    2.941    0.000    6.340    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:4970(_maybe_cast_indexer)
  5131968    2.932    0.000    2.932    0.000 {method 'groupdict' of 're.Match' objects}
  7983041    2.932    0.000   10.190    0.000 {built-in method builtins.all}
   929099    2.884    0.000    2.884    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
  2561835    2.884    0.000    4.817    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/common.py:190(all_none)
 14884221    2.867    0.000    2.867    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:314(dtype)
  7939937    2.805    0.000    2.805    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:365(_get_axis_number)
  6518249    2.763    0.000    8.805    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:427(dtype)
   931710    2.751    0.000    3.411    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/base.py:1032(__iter__)
  7005655    2.706    0.000   14.593    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:185(is_array_like)
  2787299    2.680    0.000   10.130    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:597(_ensure_dtype_type)
 16299036    2.631    0.000    2.631    0.000 {pandas._libs.lib.is_scalar}
  2783209    2.630    0.000    2.630    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/_internal.py:830(npy_ctypes_check)
  7685526    2.601    0.000    3.526    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/inference.py:289(<genexpr>)
  3715009    2.548    0.000    4.285    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/missing.py:130(_isna)
  7219145    2.538    0.000    3.440    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:5551(ensure_index)
  5137135    2.529    0.000    2.529    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexing.py:100(iloc)
   929099    2.498    0.000  274.739    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/generic.py:3346(_take_with_is_copy)
   927700    2.465    0.000  118.474    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:807(as_array)
  2561843    2.459    0.000    7.211    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:1176(name)
  2561935    2.458    0.000    8.445    0.000 <__array_function__ internals>:2(copyto)
  2783093    2.419    0.000   20.297    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:212(get_values)
  2784491    2.413    0.000    7.659    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/__init__.py:88(get_op_result_name)
 13498126    2.387    0.000    2.387    0.000 {pandas._libs.lib.item_from_zerodim}
  2678274    2.375    0.000   14.779    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:4114(_can_hold_identifiers_and_holds_name)
   929111    2.362    0.000    5.146    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:132(__init__)
   929099    2.355    0.000   15.594    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:697(take)
  2784491    2.269    0.000    2.508    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/array_ops.py:399(maybe_upcast_datetimelike_array)
  3720165    2.259    0.000    2.799    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/base.py:516(is_)
   934261    2.227    0.000    7.148    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/indexes/numeric.py:105(_shallow_copy)
  1855392    2.075    0.000   26.861    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/ops/array_ops.py:310(fill_bool)
  8399284    2.058    0.000    6.419    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/managers.py:214(<genexpr>)
